name;email;password;kelas_id;nis
AVIFAH DWI CAHYANI;avifahdwicahyani@gmail.com;avifah123;1;11111111
INDRI PUTRI MARDIANA;indriputri@gmail.com;indri123;1;10101010
LUKMAN HAKIM;lukmanhakim@gmail.com;lukman123;1;33333333
MAIDY PUTRI JOSHI;maidyputri@gmail.com;maidy123;1;77777777
NADYA PUTRI AMALIA;nadyaputri@gmail.com;nadya123;1;44444444
ROHMATUL MAULIDI;rohmatulmaulidi@gmail.com;rohmatul123;1;55555555
SABNA DEVI KUMALASARI;sabnadevi@gmail.com;sabna123;1;22222222
SYAHIDAN;syahidan@gmail.com;syahidanv;1;88888888
SYAIKUL;syaikul@gmail.com;syaikul123;1;99999999
TIFA AMALIA;tifamalia@gmail.com;tifa123;1;66666666
